	sequence	step	number of pcds	number of points	vegetation inliers	concatenation time	total time
0	001	40	2	340397	54123	0.28943514823913574	6.066101789474487
1	001	20	4	687983	1424	0.20302581787109375	4.864866018295288
2	001	10	8	1367368	6190	0.2009425163269043	10.57693600654602
3	001	5	16	2738047	7415	0.22800016403198242	21.225780963897705
4	001	1	80	13718418	80628	1.1557085514068604	114.93516206741333
5	002	40	2	335064	72	0.20454788208007812	4.338270425796509
6	002	20	4	671016	1075	0.16626262664794922	5.734562158584595
7	002	10	8	1336381	4587	0.1844348907470703	9.942017793655396
8	002	5	16	2667140	9685	0.22136807441711426	18.5086510181427
9	002	1	80	13355141	131062	0.7111694812774658	96.00801849365234
10	003	40	2	351883	1218	0.18309640884399414	4.675461053848267
11	003	20	4	709352	1542	0.18638348579406738	6.95745587348938
12	003	10	8	1399830	7683	0.2014319896697998	9.572511911392212
13	003	5	16	2808244	12188	0.23268961906433105	20.374069213867188
14	003	1	80	14057556	46744	0.5378506183624268	109.98848128318787
15	005	40	2	331508	2053	0.16614317893981934	3.630882978439331
16	005	20	4	663823	9663	0.17496991157531738	4.0277698040008545
17	005	10	8	1326895	30624	0.1907975673675537	7.889017105102539
18	005	5	16	2655414	71474	0.2308025360107422	15.913896799087524
19	005	1	80	13268062	295531	0.5288472175598145	84.71367239952087
20	011	40	2	296276	147	0.15825796127319336	4.5344157218933105
21	011	20	4	588803	2431	0.15883493423461914	4.14035964012146
22	011	10	8	1182318	226	0.17177343368530273	7.651654243469238
23	011	5	16	2352890	10634	0.20578336715698242	15.225230932235718
24	011	1	80	11757757	20732	0.4723989963531494	80.54107928276062
25	013	40	2	333869	4547	0.1728498935699463	3.0895416736602783
26	013	20	4	660559	6795	0.1703047752380371	3.866152048110962
27	013	10	8	1318565	29872	0.19317626953125	5.652039527893066
28	013	5	16	2626281	98186	0.23251795768737793	12.607740879058838
29	013	1	80	13113181	260966	0.5096497535705566	64.65933752059937
30	015	40	2	352251	182	0.1768944263458252	10.97924017906189
31	015	20	4	695969	345	0.18245863914489746	9.45058560371399
32	015	10	8	1384190	1172	0.19660115242004395	11.794003009796143
33	015	5	16	2768751	2704	0.2554595470428467	18.866711139678955
34	015	1	80	13813395	15454	0.5477874279022217	87.76430583000183
35	016	40	2	303786	0	0.1523275375366211	8.452068090438843
36	016	20	4	605666	0	0.1606922149658203	9.157687425613403
